run,metric,n,raw_r,raw_ci_low,raw_ci_high,partial_r,partial_ci_low,partial_ci_high,delta,delta_ci_low,delta_ci_high,classification
image_480_default,fim_norm,480,-0.6623788050676331,-0.7068539342949062,-0.5989566666874411,-0.21810835604793213,-0.2952405707906674,-0.1148516679028974,0.44427044901970103,0.35120158794275097,0.5567442216716653,survives
image_480_default,val_loss,480,-0.8216553757220997,-0.8452807374514408,-0.793651041329062,-0.7301926057063314,-0.7742450386089328,-0.6711370085365509,0.0914627700157683,0.05202346670921742,0.14342545346607138,survives
image_480_default,fisher_trace,480,-0.4747400644418903,-0.5481940443627685,-0.4010730393826566,-0.1799604851750885,-0.3098086906003257,-0.03845506709518756,0.2947795792668018,0.1977612343733643,0.41872713677961776,weak-or-mixed
image_480_default,grad_norm,480,-0.47559282625517746,-0.5486495541022474,-0.380953350882477,-0.20035964937729064,-0.3246376795573058,-0.09341550017189097,0.27523317687788684,0.16942480475579366,0.39782604942147143,survives
image_480_default,confidence_mean,480,0.7200626241212676,0.6743283843021199,0.7604447538359314,0.31505508549231165,0.21384054815762293,0.4215833963129776,-0.405007538628956,-0.5060233314767634,-0.30338412327801806,survives
image_480_default,feature_norm_mean,480,0.5391265110522833,0.47470846608789674,0.5976089088337266,0.2542248079275055,0.08963248382302354,0.3811785623797941,-0.28490170312477775,-0.4395102532971591,-0.14401984125771092,survives
image_480_default,feature_erank,480,-0.4239085050280428,-0.4879387975393511,-0.3437313026735344,0.19860252299680717,0.10060950346545494,0.2846196899349093,0.6225110280248499,0.49405253223209045,0.7166504206542424,weak-or-mixed
image_480_default,weight_l2,480,0.12789415769693957,0.03555136565370471,0.22649532970227815,0.12195603002710305,-0.007471241954943851,0.26489657789333804,-0.005938127669836521,-0.16931628071967,0.13060685153612764,weak-or-mixed
image_480_default,distance_from_init_l2,480,0.4378483231996024,0.3520315792597586,0.5067988381666745,0.14761206171332827,0.06278168498933699,0.25250166586917006,-0.2902362614862741,-0.4093762012557773,-0.17298975897420366,weak-or-mixed
image_480_default,update_to_weight_ratio,480,0.40430561707453067,0.3164639999327766,0.46845548438954493,0.0202244816642198,-0.09631286496701515,0.15148545088695234,-0.38408113541031086,-0.49180709253782656,-0.244794925694161,washout
image_480_default,random_metric,480,-0.01335280614172597,-0.09047480564059576,0.07841735495695816,-0.07041214214239272,-0.1550506387736061,0.009471071224235435,-0.05705933600066675,-0.1754937830977387,0.029562706457522223,weak-or-mixed
image_480_strict,fim_norm,480,-0.6623788050676331,-0.7086444582507309,-0.6077961081744062,-0.3833957873820327,-0.46040752083144393,-0.2780124676151958,0.2789830176856004,0.17846346011125427,0.39897462269578143,survives
image_480_strict,val_loss,480,-0.8216553757220997,-0.8490745562650897,-0.7930503484549103,-0.7301926057063314,-0.7814857582554856,-0.6551018612769296,0.0914627700157683,0.04843419657143574,0.16231390379734023,survives
image_480_strict,fisher_trace,480,-0.4747400644418903,-0.5359591664642475,-0.41015324734637054,-0.3590369688208457,-0.4447869474260587,-0.24682923033155535,0.11570309562104464,0.011565689296104617,0.23504895781385995,survives
image_480_strict,grad_norm,480,-0.47559282625517746,-0.5453752241131848,-0.4030778954685695,-0.349710765034819,-0.44893140388359315,-0.2344873098050279,0.12588206122035844,0.020803454428735834,0.23661850713356136,survives
image_480_strict,confidence_mean,480,0.7200626241212676,0.6762916119718987,0.7687783103190479,0.5033037392244648,0.4170176112148229,0.5857273408523059,-0.21675888489680284,-0.3232286834189465,-0.12576605366809027,survives
image_480_strict,feature_norm_mean,480,0.5391265110522833,0.4731425514298151,0.5924720049594541,0.34806453811221016,0.21395067613897223,0.4517093763935899,-0.1910619729400731,-0.3285025647226388,-0.0792269531239327,survives
image_480_strict,feature_erank,480,-0.4239085050280428,-0.4988406249439932,-0.3443570485991457,0.22760468768506453,0.11251991162127593,0.3422243489020371,0.6515131927131073,0.5112844098009441,0.7623174300929544,sign-inversion
image_480_strict,weight_l2,480,0.12789415769693957,0.04122470259767449,0.2266368799622142,0.21549326029068175,0.09002239216065139,0.321758370376934,0.08759910259374218,-0.052125226326681526,0.2079258401396402,hidden-after-control
image_480_strict,distance_from_init_l2,480,0.4378483231996024,0.3485219010041464,0.5041318501564742,0.3252167666234599,0.22093782733378026,0.4171890578132048,-0.11263155657614249,-0.24820258948038146,0.014329145850879377,survives
image_480_strict,update_to_weight_ratio,480,0.40430561707453067,0.32709817015811865,0.4790488484793195,0.18457852489229554,0.07701470281465983,0.31593721463849206,-0.21972709218223513,-0.3317614869070062,-0.0853533448252645,weak-or-mixed
image_480_strict,random_metric,480,-0.01335280614172597,-0.09158115470016251,0.07076525170267846,-0.015844641492211545,-0.11428666490518051,0.07893232165805078,-0.002491835350485576,-0.1060331077399462,0.10234705072321384,weak-or-mixed
text_200_default,fim_norm,200,-0.29110454715116646,-0.43891949029566946,-0.12041707236110784,0.013621577524726721,-0.1416923146354485,0.17262097863752665,0.30472612467589316,0.14801640938733573,0.4531895106090981,washout
text_200_default,val_loss,200,-0.9303134269394862,-0.9537251115683743,-0.8896347482556897,-0.8611278928542726,-0.897763209996757,-0.7963784589603871,0.06918553408521355,0.04189128797784396,0.10940890986977524,survives
text_200_default,fisher_trace,200,-0.8183195595466989,-0.8525337879909707,-0.7565329062822874,-0.4237968718081818,-0.518926160500731,-0.29337119685064267,0.39452268773851706,0.31747286890598203,0.4946729911619829,survives
text_200_default,grad_norm,200,-0.817989526048254,-0.8597713965779638,-0.7589088903122166,-0.4295244968314904,-0.5408297726094226,-0.2846812588722598,0.3884650292167636,0.2965882164671853,0.49823944435593054,survives
text_200_default,confidence_mean,200,0.3078529971211185,0.18061625903907025,0.46208759779998315,0.07642896901876031,-0.09295212428341043,0.23048859099600777,-0.2314240281023582,-0.3923940879568337,-0.07861784430115774,washout
text_200_default,feature_norm_mean,200,0.3249389813508439,0.1881880722045229,0.43143560377787443,-0.24005885489951595,-0.3851609638499524,-0.07674205434870582,-0.5649978362503598,-0.6886767414696984,-0.433830683827703,reverse-inversion
text_200_default,feature_erank,200,-0.7344850503326007,-0.795512673659396,-0.6517421370065545,-0.4712707645859008,-0.5629109911115494,-0.3530995133350879,0.2632142857466999,0.18274911746704908,0.3511264504603406,survives
text_200_default,weight_l2,200,0.7079871107881294,0.6472373891944301,0.7566781315161158,0.022918133721441757,-0.08062126247029171,0.11046548257841231,-0.6850689770666876,-0.7605123476555217,-0.6119128530421457,washout
text_200_default,distance_from_init_l2,200,0.751588286313381,0.6954961246647923,0.7982639381091775,0.19836010511272326,0.04501655681886568,0.3136822619282951,-0.5532281812006578,-0.6974445689064112,-0.4420897577050744,weak-or-mixed
text_200_default,update_to_weight_ratio,200,0.7516242899677569,0.6922013260482311,0.7982373419699812,0.17633701887091682,0.04808496091858657,0.30062856068132776,-0.5752872710968401,-0.6951389761646414,-0.4506127640100548,weak-or-mixed
text_200_default,random_metric,200,0.0675346047715784,-0.05889394711610404,0.2075153727061104,0.008675756986094747,-0.11951583394144066,0.14832936955711978,-0.05885884778548365,-0.18171690471789834,0.05497775829250161,weak-or-mixed
text_200_strict,fim_norm,200,-0.29110454715116646,-0.4236505078677091,-0.13856051563806032,0.18773927504062862,0.04581305097901704,0.3000218212954376,0.4788438221917951,0.3099459431493895,0.6554969757432855,weak-or-mixed
text_200_strict,val_loss,200,-0.9303134269394862,-0.9527544810946406,-0.8949832527185936,-0.8611278928542726,-0.9045293021763908,-0.7958160459065187,0.06918553408521355,0.041575807543097136,0.11066272834693838,survives
text_200_strict,fisher_trace,200,-0.8183195595466989,-0.8548308207851395,-0.765104010557603,-0.2947902284868073,-0.4102537957939165,-0.15461778490376438,0.5235293310598916,0.4291470652408132,0.6368262484033214,survives
text_200_strict,grad_norm,200,-0.817989526048254,-0.8551362655987556,-0.7540927580913338,-0.32508425712897565,-0.42501620940972834,-0.17113699548223596,0.4929052689192784,0.4003620102698896,0.6220867722471791,survives
text_200_strict,confidence_mean,200,0.3078529971211185,0.15024748444542724,0.45528073732105256,-0.04940611051999484,-0.20450768926915544,0.13151131842780808,-0.35725910764111335,-0.5137560134306745,-0.14740319452231265,washout
text_200_strict,feature_norm_mean,200,0.3249389813508439,0.22140866200705087,0.4238120602515511,-0.15239245388922898,-0.29359407920891356,0.008068522183080884,-0.47733143524007293,-0.643393881155359,-0.29310590079001364,weak-or-mixed
text_200_strict,feature_erank,200,-0.7344850503326007,-0.7972068742432163,-0.6600182566937125,-0.31245254651735715,-0.4478724940230781,-0.17297014251110548,0.42203250381524354,0.2993463432901857,0.5444246965137477,survives
text_200_strict,weight_l2,200,0.7079871107881294,0.6466230249915207,0.7589063500765305,0.13139459802008657,0.03979008315527558,0.2089986556949867,-0.5765925127680428,-0.6605618654246581,-0.4864244237984913,weak-or-mixed
text_200_strict,distance_from_init_l2,200,0.751588286313381,0.6951800584805552,0.7997578866701909,0.2537802970524723,0.12191977675045054,0.3493972180987028,-0.49780798926090875,-0.6122471196792412,-0.4148880057623519,survives
text_200_strict,update_to_weight_ratio,200,0.7516242899677569,0.6893865057424894,0.7980414467558009,0.23472095844534768,0.1016319275281462,0.3350584206836967,-0.5169033315224092,-0.6317821733744569,-0.42173846855119407,survives
text_200_strict,random_metric,200,0.0675346047715784,-0.08074406205472258,0.21788292867732867,-0.04236308510707801,-0.17892680825205406,0.08652428652615395,-0.1098976898786564,-0.2555651096969541,0.0530002913794929,weak-or-mixed
full_680_default,fim_norm,680,0.22486856902462055,0.1361045663614638,0.3144742564459765,-0.20284803674349908,-0.26656909250257493,-0.11701791490029322,-0.42771660576811965,-0.5390805452000637,-0.31988648284197735,reverse-inversion
full_680_default,val_loss,680,-0.9354999097995528,-0.9454784699521572,-0.9203855284227103,-0.6979856001376018,-0.7352112412404873,-0.6242322960016792,0.23751430966195097,0.20041562996359802,0.31030482067834503,survives
full_680_default,fisher_trace,680,-0.8089502745484841,-0.8415285016367172,-0.7733130189986397,-0.21126317109536558,-0.3202105468217138,-0.10324880754743249,0.5976871034531186,0.4920367062035051,0.7074965420059053,survives
full_680_default,grad_norm,680,-0.8085811309041108,-0.837020570408028,-0.7733656243866863,-0.226595396158609,-0.32862434947414365,-0.08646621332908043,0.5819857347455017,0.4832456209733335,0.7008780809182033,survives
full_680_default,confidence_mean,680,0.833378882358503,0.8126336257859362,0.851800643671957,0.33899033022025216,0.2594941128868251,0.41776014722693805,-0.49438855213825084,-0.5883032063428442,-0.41110722475452627,survives
full_680_default,feature_norm_mean,680,-0.4249527249979203,-0.4999385051307811,-0.34631202435231206,0.07147223054533378,-0.0476262350280959,0.18970042109173282,0.49642495554325405,0.3494513671872364,0.6122983284944522,washout
full_680_default,feature_erank,680,-0.5380328820835625,-0.604587396419139,-0.46934215328899115,0.09656380781411708,-0.014301818342492443,0.18262741018448406,0.6345966898976796,0.5153139419235856,0.7327512829947522,washout
full_680_default,weight_l2,680,0.6853608940758021,0.6245982449502532,0.740047417643294,0.09295641666499618,-0.012498157008737912,0.19938292159612073,-0.5924044774108059,-0.725747228503188,-0.45255689349538547,washout
full_680_default,distance_from_init_l2,680,0.6717805798733901,0.6171212676543146,0.7229809698416406,0.013922349832344577,-0.0720312343378733,0.11960972469011759,-0.6578582300410456,-0.7650918910951273,-0.5443774235045672,washout
full_680_default,update_to_weight_ratio,680,0.24144742167542854,0.16833263475923105,0.31595647745059496,0.06601497974972448,-0.03676652505056582,0.18049189122180187,-0.17543244192570406,-0.28412439742285056,-0.04926008220523894,washout
full_680_default,random_metric,680,-0.03457061603258148,-0.11228314407642216,0.03279831831045499,-0.06157737271595171,-0.1307608414915937,0.017876347511068102,-0.027006756683370235,-0.12025174981031982,0.07328347681511097,weak-or-mixed
full_680_strict,fim_norm,680,0.22486856902462055,0.13785448002763834,0.2963319386244872,-0.30027954651012717,-0.38935028376887687,-0.21676529563419494,-0.5251481155347477,-0.6212656795873313,-0.42095274338199795,reverse-inversion
full_680_strict,val_loss,680,-0.9354999097995528,-0.9473192093248829,-0.9208203972311205,-0.6979856001376018,-0.7420440894747582,-0.6472011502228298,0.23751430966195097,0.1984362115722705,0.28647476028609464,survives
full_680_strict,fisher_trace,680,-0.8089502745484841,-0.841103649378764,-0.7676132102872063,-0.3899587268944448,-0.48200592019833904,-0.2745273569948608,0.41899154765403934,0.3299107028150531,0.5221877070613301,survives
full_680_strict,grad_norm,680,-0.8085811309041108,-0.8433949048954351,-0.7652749645493986,-0.37567876195590005,-0.4699983206398751,-0.26148377268328565,0.4329023689482107,0.3470068620019835,0.5283910461764765,survives
full_680_strict,confidence_mean,680,0.833378882358503,0.8073789980383088,0.8496541792105641,0.536157535749272,0.4640295922342649,0.5857653342448493,-0.29722134660923094,-0.36913041773299826,-0.23783225890875564,survives
full_680_strict,feature_norm_mean,680,-0.4249527249979203,-0.4975358936443676,-0.3520170537599931,0.06935067523004444,-0.05478404411151976,0.18489307077141526,0.49430340022796476,0.3785723207205916,0.5971547578901656,washout
full_680_strict,feature_erank,680,-0.5380328820835625,-0.6034608058858576,-0.47637645225454917,0.10751083761598379,-0.00745490493421236,0.2019036722215375,0.6455437196995463,0.5351279904351548,0.7484942259905708,weak-or-mixed
full_680_strict,weight_l2,680,0.6853608940758021,0.6119129848875723,0.7371451651164516,0.18461130310477672,0.10848752532010238,0.27739485245911133,-0.5007495909710254,-0.5956544011532765,-0.38453228310133175,weak-or-mixed
full_680_strict,distance_from_init_l2,680,0.6717805798733901,0.6105009813723187,0.7251939138661755,0.2838312681579505,0.18424786956046396,0.37801463725657414,-0.3879493117154396,-0.4751587878591303,-0.2941184154567686,survives
full_680_strict,update_to_weight_ratio,680,0.24144742167542854,0.1823949371679259,0.3092146048671102,0.2533843609905358,0.15536560658299678,0.35122349626065424,0.011936939315107253,-0.08785030724011862,0.13975505940484667,survives
full_680_strict,random_metric,680,-0.03457061603258148,-0.11844530248573716,0.03212825522198915,-0.044258926568740295,-0.1151281624501707,0.030940260685203988,-0.009688310536158817,-0.10137743275524648,0.08022603531168307,weak-or-mixed
