hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error,study_id,scope,baseline_level,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification,source_mean_rank,mbe_abs_residual_rank,rank_gap
all,complexity.pacbayes_orig,9242,0.0971774235772012,0.36,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6457030913061134,0.6285678734083296,survives,0.5799408069376568,0.5881927921927923,0.005,0.5315640063487558,0.6320161169262608,0.0172086116492877,0.0105784020821223,0.0066302095671653,0.0052986558149011,0.0077091367841984,0.3852843972709328,0.0053333333333333,increment-supported,1.0,4.0,3.0
all,complexity.pacbayes_flatness,9242,0.1024274803213747,0.5072659243634601,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6625467610550482,0.5008711201354978,survives,0.5608574096319188,0.5796564516564517,0.005,0.5376729439503792,0.6191179110654477,0.0175935705044553,0.0115490789657031,0.0060444915387521,0.0049483785539342,0.0070555646034506,0.3435625268459,0.0053333333333333,increment-supported,2.0,5.0,3.0
all,complexity.pacbayes_init,9242,0.106247230292521,0.8194321653728341,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6927113036470601,0.6712523181580096,survives,0.6334995910222089,0.6414832734832736,0.005,0.5895493701429745,0.6842102840577291,0.0173742025191456,0.0077442953628453,0.0096299071563002,0.008433910445686,0.0107970577932599,0.5542647005345168,0.0053333333333333,increment-supported,3.0,1.0,2.0
all,complexity.path_norm_over_margin,9242,0.1217017643738542,0.99,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4519828170074041,0.3604462620218806,survives,0.3272379632330263,0.3374659934659935,0.005,0.2759445327843622,0.3989667067566975,0.0173770930484764,0.0105013118620551,0.0068757811864212,0.005642525262162,0.0080965449503466,0.395680748629249,0.0053333333333333,increment-supported,4.0,15.0,11.0
all,complexity.pacbayes_mag_flatness,9242,0.1261411928040567,0.5199999990706646,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.7204511403519301,0.6280605738435198,survives,0.5844063879597485,0.6305462825462825,0.005,0.5819246990550745,0.6788778565280317,0.0175187648625074,0.0089969096785677,0.0085218551839397,0.0076188111997191,0.0094487359888311,0.4864415528618492,0.0053333333333333,increment-supported,5.0,2.0,3.0
all,complexity.path_norm,9242,0.1273607331962787,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.4475992855828127,0.344967057275045,survives,0.3077758199732483,0.3192652512652513,0.005,0.2560533470770572,0.3755118199760443,0.0174886634812272,0.0107092902518036,0.0067793732294236,0.005641669854423,0.0080603471627633,0.3876438720832367,0.0053333333333333,increment-supported,6.0,17.0,11.0
all,complexity.fro_dist,9242,0.1403539329096188,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6552146470449223,0.6354290373579173,survives,0.5834631888679751,0.5896971616971618,0.005,0.5359599327974565,0.6394199778277764,0.0176770890082532,0.0102596888869447,0.0074174001213085,0.0061518643206468,0.0083842922172945,0.4196052934872599,0.0053333333333333,increment-supported,7.0,3.0,4.0
all,complexity.log_sum_of_fro,9242,0.1615909077395111,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.3808963327116705,survives,0.270908393494317,0.2842274842274842,0.005,0.2288736379913916,0.3445416019997911,0.0173877783338623,0.0157098135426394,0.0016779647912229,0.0010062192889057,0.0023557916905573,0.0965025409804719,0.0053333333333333,increment-supported,8.0,19.0,11.0
all,complexity.param_norm,9242,0.1787633186264796,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5875206397347865,0.5447107586726676,survives,0.4626767537845523,0.4708712548712549,0.005,0.4180556275360935,0.5267680407212442,0.017510357717212,0.0135711593257321,0.0039391983914799,0.0030955510955912,0.0048393988381468,0.2249639016573519,0.0053333333333333,increment-supported,9.0,6.0,3.0
all,complexity.log_sum_of_fro_over_margin,9242,0.1856786240267708,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.3299114754073026,survives,0.250093700009888,0.2622324942324942,0.005,0.1972335339065416,0.3199876066656411,0.0172642852437427,0.0159894382827096,0.001274846961033,0.0005801731331888,0.0019559852231988,0.0738430200285949,0.0053333333333333,increment-supported,10.0,20.0,10.0
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394629240766723,0.21144980049133,sign-inversion,0.3418443445340003,0.3502588822588823,0.005,0.2979939383130195,0.4064804997935147,0.0173731260316118,0.0121307350789418,0.00524239095267,0.0040459210305978,0.0063345826703536,0.3017528879449262,0.0053333333333333,increment-supported,11.0,11.0,0.0
all,complexity.log_prod_of_fro,9242,0.3013325887147912,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394205805668255,0.1956547103741835,weak-or-mixed,0.3354934881196833,0.3435879915879916,0.005,0.2926369751059743,0.3997915873028811,0.0174684754099037,0.0121905647270307,0.0052779106828729,0.0041714971783623,0.0063842251115638,0.3021391712227294,0.0053333333333333,increment-supported,12.0,13.0,1.0
all,complexity.log_sum_of_spec_fft,9242,0.3034099729786785,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6099080962904855,0.5221451131118255,survives,0.4028219893433463,0.3920934680934681,0.005,0.3352198741829093,0.4520565825669707,0.0174215158293151,0.0144069987780069,0.0030145170513081,0.0021825896154411,0.0039351903170619,0.1730341424272418,0.0053333333333333,increment-supported,13.0,8.0,5.0
all,complexity.fro_over_spec_fft,9242,0.3115166531408697,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3724917093612143,-0.3426378525283006,reverse-inversion,-0.1560537605993225,-0.1453952653952654,0.005,-0.2096565358611684,-0.0904351654143368,0.0175556861405845,0.0171480832225756,0.0004076029180089,-5.6659453679517166e-05,0.0008683708214122,0.0232177150323214,0.0053333333333333,residual-dependence-only,14.0,22.0,8.0
all,complexity.inverse_margin,9242,0.3295665667220577,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.0562171680581666,washout,0.0813127409006569,0.0917776997776998,0.01,0.0371766431175864,0.1578473073167814,0.0174728610008335,0.0174628198694338,1.0041131399730202e-05,-0.0001598892842061,0.0001787891395507,0.0005746701355462,0.0103225806451612,residual-dependence-only,15.0,23.0,8.0
all,complexity.log_sum_of_spec_over_margin_fft,9242,0.334899800339012,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5866170706709996,0.4989684531058254,survives,0.3444208619026896,0.3305671505671506,0.005,0.277413297634846,0.3888289969197249,0.017278646291998,0.0150240545453975,0.0022545917466005,0.0015349609999829,0.0030280588348901,0.1304842814940136,0.0053333333333333,increment-supported,16.0,16.0,0.0
all,complexity.dist_spec_init_fft,9242,0.3745780861927532,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5891697483643795,0.5805752180312329,survives,0.4655865359261753,0.4594132114132113,0.005,0.3977927108839494,0.5141431482580241,0.01740460697973,0.0095784771281971,0.0078261298515328,0.0066016274084722,0.0089572776699352,0.449658522059559,0.0053333333333333,increment-supported,17.0,7.0,10.0
all,complexity.pacbayes_mag_orig,9242,0.4070617087984375,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.2717056344455159,-0.0394775400285102,washout,0.1658247753247447,0.1631549231549232,0.005,0.0990006043121826,0.226193010544505,0.0175674672052754,0.0162340161360266,0.0013334510692488,0.000665675905311,0.0020253816026844,0.0759045714255483,0.0053333333333333,increment-supported,18.0,21.0,3.0
all,complexity.pacbayes_mag_init,9242,0.4173327472238957,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3009812389217274,0.1097422266275559,weak-or-mixed,0.3013047047620701,0.2996197316197316,0.005,0.2378389501155313,0.3611713368132473,0.017375925751457,0.0135438973419057,0.0038320284095512,0.0026624147591003,0.0049952883253041,0.220536647334023,0.0053333333333333,increment-supported,19.0,18.0,1.0
all,complexity.params,9242,0.4334144411679495,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.2465283576540229,-0.1532751487342688,weak-or-mixed,0.0427988794217233,0.0384799824799824,0.24,-0.0239907655151724,0.1033348465271053,0.0173743829419119,0.0176599878322008,-0.0002856048902889,-0.0004537409585468,-0.0001304557348123,-0.0164382753185407,0.24,no-supported-increment,20.0,24.0,4.0
all,complexity.log_spec_orig_main_fft,9242,0.5506286549589554,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2935751634216008,0.3437357354628934,sign-inversion,0.3784716473544903,0.3684203244203244,0.005,0.3118524177228311,0.4165705917161384,0.0173019807801735,0.0074517726891157,0.0098502080910577,0.0088126434583945,0.0109444786053336,0.5693110064221777,0.0053333333333333,increment-supported,21.0,10.0,11.0
all,complexity.log_spec_init_main_fft,9242,0.5613511552551588,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2930772903720895,0.3564310193556499,sign-inversion,0.3829034400543746,0.3731268131268131,0.005,0.3249986135407835,0.4230648721013296,0.0174137080876636,0.0077895088595338,0.0096241992281297,0.0086936180565149,0.0106186823874636,0.55267948559146,0.0053333333333333,increment-supported,22.0,9.0,13.0
all,complexity.log_prod_of_spec_fft,9242,0.5964703779104876,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3121074388097063,0.3207703346773978,sign-inversion,0.3483400681988963,0.3462610902610903,0.005,0.2981293867831998,0.3922674758880313,0.0173302990318186,0.0077175032741715,0.009612795757647,0.0085466194214371,0.0104946810371507,0.5546814708735169,0.0053333333333333,increment-supported,23.0,12.0,11.0
all,complexity.log_prod_of_spec_over_margin_fft,9242,0.6185368679346784,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3148149162460588,0.3261168698114289,sign-inversion,0.3436183921665947,0.3405361965361966,0.005,0.2928610033164107,0.3890669408078542,0.0175535569185283,0.0083845164807332,0.0091690404377951,0.0080669508188761,0.0102064435286751,0.5223465808298308,0.0053333333333333,increment-supported,24.0,14.0,10.0
