run_id,task,source_task,model_key,architecture,dataset,hparams_json
task1:21,task1,task1_v4,21,vgg,cifar10,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}"
task1:23,task1,task1_v4,23,vgg,cifar10,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}"
task1:24,task1,task1_v4,24,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}"
task1:25,task1,task1_v4,25,vgg,cifar10,"{""bs"":512,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}"
task1:86,task1,task1_v4,86,vgg,cifar10,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:88,task1,task1_v4,88,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:90,task1,task1_v4,90,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:92,task1,task1_v4,92,vgg,cifar10,"{""bs"":8,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:149,task1,task1_v4,149,vgg,cifar10,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:154,task1,task1_v4,154,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:156,task1,task1_v4,156,vgg,cifar10,"{""bs"":8,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:213,task1,task1_v4,213,vgg,cifar10,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.0}"
task1:532,task1,task1_v4,532,vgg,cifar10,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.001}"
task1:596,task1,task1_v4,596,vgg,cifar10,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:600,task1,task1_v4,600,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:606,task1,task1_v4,606,vgg,cifar10,"{""bs"":8,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:607,task1,task1_v4,607,vgg,cifar10,"{""bs"":8,""convwidth"":512,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.0}"
task1:662,task1,task1_v4,662,vgg,cifar10,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:666,task1,task1_v4,666,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:668,task1,task1_v4,668,vgg,cifar10,"{""bs"":8,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:669,task1,task1_v4,669,vgg,cifar10,"{""bs"":8,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.001}"
task1:728,task1,task1_v4,728,vgg,cifar10,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.0}"
task1:729,task1,task1_v4,729,vgg,cifar10,"{""bs"":512,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.0}"
task1:733,task1,task1_v4,733,vgg,cifar10,"{""bs"":8,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":2,""weight_decay"":0.0}"
task2:239,task2,task2_v1,239,nin,svhn,"{""bs"":1024,""depth"":12,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:240,task2,task2_v1,240,nin,svhn,"{""bs"":1024,""depth"":12,""dropout_p"":0.25,""weight_decay"":0.0}"
task2:241,task2,task2_v1,241,nin,svhn,"{""bs"":1024,""depth"":12,""dropout_p"":0.5,""weight_decay"":0.001}"
task2:244,task2,task2_v1,244,nin,svhn,"{""bs"":1024,""depth"":12,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:245,task2,task2_v1,245,nin,svhn,"{""bs"":32,""depth"":12,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:250,task2,task2_v1,250,nin,svhn,"{""bs"":32,""depth"":12,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:252,task2,task2_v1,252,nin,svhn,"{""bs"":512,""depth"":12,""dropout_p"":0.25,""weight_decay"":0.0}"
task2:253,task2,task2_v1,253,nin,svhn,"{""bs"":512,""depth"":12,""dropout_p"":0.5,""weight_decay"":0.001}"
task2:254,task2,task2_v1,254,nin,svhn,"{""bs"":512,""depth"":12,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:612,task2,task2_v1,612,nin,svhn,"{""bs"":1024,""depth"":6,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:614,task2,task2_v1,614,nin,svhn,"{""bs"":1024,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.001}"
task2:615,task2,task2_v1,615,nin,svhn,"{""bs"":1024,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:621,task2,task2_v1,621,nin,svhn,"{""bs"":32,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:623,task2,task2_v1,623,nin,svhn,"{""bs"":32,""depth"":6,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:624,task2,task2_v1,624,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:625,task2,task2_v1,625,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.25,""weight_decay"":0.0}"
task2:627,task2,task2_v1,627,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:629,task2,task2_v1,629,nin,svhn,"{""bs"":512,""depth"":6,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:998,task2,task2_v1,998,nin,svhn,"{""bs"":1024,""depth"":9,""dropout_p"":0.0,""weight_decay"":0.001}"
task2:1000,task2,task2_v1,1000,nin,svhn,"{""bs"":32,""depth"":9,""dropout_p"":0.25,""weight_decay"":0.001}"
task2:1005,task2,task2_v1,1005,nin,svhn,"{""bs"":32,""depth"":9,""dropout_p"":0.0,""weight_decay"":0.0}"
task2:1007,task2,task2_v1,1007,nin,svhn,"{""bs"":512,""depth"":9,""dropout_p"":0.25,""weight_decay"":0.0}"
task2:1009,task2,task2_v1,1009,nin,svhn,"{""bs"":512,""depth"":9,""dropout_p"":0.5,""weight_decay"":0.0}"
task2:1010,task2,task2_v1,1010,nin,svhn,"{""bs"":512,""depth"":9,""dropout_p"":0.0,""weight_decay"":0.001}"
