repetition,scenario,expected_increment,residual_p,delta_mse,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_classification
0,null_metric,False,0.27,0.0006740068360353464,-0.00369777810738436,0.005466103410663544,no-supported-increment
0,nonlinear_proxy,False,0.16,-3.633621209976623e-05,4.8803358820961425e-06,0.0019457014753480073,predictive-improvement-only
0,clustered_null,False,0.56,-0.0003769526579729607,-0.01881937703515226,0.0174439347527189,no-supported-increment
0,genuine_increment,True,0.01,0.04461061075777894,0.034797404189028526,0.049141736874608634,increment-supported
1,null_metric,False,0.64,-0.0016209679255676235,-0.0026443960427704315,0.0018274379973550205,no-supported-increment
1,nonlinear_proxy,False,0.59,-0.0002797684881766871,-0.00034112485014156516,0.0008990921702419534,no-supported-increment
1,clustered_null,False,0.68,-0.009392675703753146,-0.011649304135256921,0.004185632669120852,no-supported-increment
1,genuine_increment,True,0.01,0.04156332227045495,0.0279076502950651,0.0488922157052015,increment-supported
2,null_metric,False,0.18,-0.001752042470681045,-0.0021656572798938465,0.0009903629964505719,no-supported-increment
2,nonlinear_proxy,False,0.12,-0.0003881707471566015,-0.000569827216607522,0.0009209716636624631,no-supported-increment
2,clustered_null,False,0.46,-0.00501622765386199,-0.009522327859218091,0.009434705091605182,no-supported-increment
2,genuine_increment,True,0.01,0.03301677155289885,0.025177584894272752,0.04161962874458171,increment-supported
3,null_metric,False,0.31,2.6831254892369094e-06,-0.002038750320261339,0.0017465704508137232,no-supported-increment
3,nonlinear_proxy,False,0.38,-0.00045030720359334146,-0.0008938483246648619,0.0010592119442015982,no-supported-increment
3,clustered_null,False,0.65,0.002939036635331101,-0.01068771446834566,0.014616006689670282,no-supported-increment
3,genuine_increment,True,0.01,0.04230448913077578,0.0313571574231403,0.05212905930030397,increment-supported
4,null_metric,False,0.94,-0.00040474612993854006,-0.001464798600991939,0.003133660489386557,no-supported-increment
4,nonlinear_proxy,False,0.78,0.00027753808214784573,-0.0006779518783845532,0.0013231680180271262,no-supported-increment
4,clustered_null,False,0.16,-0.0052043483955224006,-0.008985172693217372,0.02813236001853934,no-supported-increment
4,genuine_increment,True,0.01,0.03979991057655978,0.027831623130739298,0.04609703315185832,increment-supported
5,null_metric,False,0.65,-0.001375191390063351,-0.0019535561402903904,0.0017883561413682086,no-supported-increment
5,nonlinear_proxy,False,0.88,0.0001742387247566854,-0.0008591233651183776,0.0012395876075965402,no-supported-increment
5,clustered_null,False,0.55,-0.00300504697942431,-0.014133262630304986,0.05854544973015921,no-supported-increment
5,genuine_increment,True,0.01,0.04034647680897125,0.03123728476800191,0.04898752942116884,increment-supported
6,null_metric,False,0.88,-0.0012479225241706776,-0.0023251778469766155,0.002169565859722525,no-supported-increment
6,nonlinear_proxy,False,0.68,-3.208317330226536e-05,-0.0005890529244027137,0.0008697263777542821,no-supported-increment
6,clustered_null,False,0.22,-0.007073399055150115,-0.01696610662632368,0.0064145295824111015,no-supported-increment
6,genuine_increment,True,0.01,0.04183409525460133,0.02678016535371974,0.048297351281306175,increment-supported
7,null_metric,False,0.01,-0.0006249889447882857,-0.0024666806873311557,0.0019813301352092595,residual-dependence-only
7,nonlinear_proxy,False,0.17,-0.0002467494674009262,-0.0009042151505977826,0.0004325823169573952,no-supported-increment
7,clustered_null,False,0.06,-0.0022753666360310273,-0.006058646242488987,0.011655460427233935,no-supported-increment
7,genuine_increment,True,0.01,0.03304742521461389,0.023537769087275128,0.041832560376000714,increment-supported
8,null_metric,False,0.69,-0.0011326042902518423,-0.0028523129134862854,0.0020179674746027354,no-supported-increment
8,nonlinear_proxy,False,0.08,-5.1960872132820156e-05,-0.000555032236194049,0.0014453600761815007,no-supported-increment
8,clustered_null,False,0.54,-0.003105264971624201,-0.015821331946307762,0.01934258776609665,no-supported-increment
8,genuine_increment,True,0.01,0.037682743327846956,0.027091865480362052,0.04585806971317502,increment-supported
9,null_metric,False,0.27,-0.0013837673152032257,-0.0023814787696758385,0.0027798386333085356,no-supported-increment
9,nonlinear_proxy,False,0.8,7.365679917910924e-05,-0.0006706329899421758,0.0022868849519104024,no-supported-increment
9,clustered_null,False,0.08,-0.004151169902287494,-0.028266336802070132,0.014124388721176082,no-supported-increment
9,genuine_increment,True,0.01,0.038995073600013405,0.02932240144323668,0.04764783939325262,increment-supported
10,null_metric,False,0.13,-0.0008978750675117907,-0.0024274061457415373,0.002306017347136121,no-supported-increment
10,nonlinear_proxy,False,0.79,-0.00016507046295195608,-0.00043356119821884764,0.0010692470962362461,no-supported-increment
10,clustered_null,False,0.06,0.001527900974474073,-0.00772686891595263,0.016265476209642065,no-supported-increment
10,genuine_increment,True,0.01,0.04039474929939545,0.03200095547665106,0.04889934969122763,increment-supported
11,null_metric,False,0.07,-0.0006930675370928306,-0.002373271450719157,0.0030186218423420693,no-supported-increment
11,nonlinear_proxy,False,0.21,0.00033167669695306507,-0.0002036969377037134,0.0011104555421068692,no-supported-increment
11,clustered_null,False,0.89,-0.0060451984333290895,-0.026274242918361123,0.007182989138872819,no-supported-increment
11,genuine_increment,True,0.01,0.04550786008469382,0.034134257868231016,0.049116824999090446,increment-supported
12,null_metric,False,0.84,-0.001327099299463383,-0.0012047802631771191,0.004064743855362754,no-supported-increment
12,nonlinear_proxy,False,0.33,-0.0001606643687900311,-0.0005924626520003332,0.0008616988217705181,no-supported-increment
12,clustered_null,False,0.02,-0.007346440222608934,-0.014379450369529968,0.021037787544402158,residual-dependence-only
12,genuine_increment,True,0.01,0.0365148304826647,0.030965100830301854,0.04539024000739483,increment-supported
13,null_metric,False,0.43,-0.0005058275681516615,-0.0020148299709422017,0.0039283627449130725,no-supported-increment
13,nonlinear_proxy,False,0.65,-0.0003399410244709798,-0.000471814352586638,0.0007079637521640327,no-supported-increment
13,clustered_null,False,0.09,-0.0088246381950014,-0.011365533296996713,0.008573113817818596,no-supported-increment
13,genuine_increment,True,0.01,0.04240304073920431,0.035671915801601166,0.051495288498520725,increment-supported
14,null_metric,False,0.45,-0.0019164102794480102,-0.0031947069300249653,0.0011813631436852535,no-supported-increment
14,nonlinear_proxy,False,0.95,-0.0002731489622313432,-0.00043544278641725534,0.0023296970662313858,no-supported-increment
14,clustered_null,False,0.5,-0.0021373493267651776,-0.1210194180370182,0.009216550260473036,no-supported-increment
14,genuine_increment,True,0.01,0.029084675175257306,0.022351719732971318,0.03748858592256335,increment-supported
15,null_metric,False,0.22,-0.0023643412277809563,-0.002084963079415465,0.0013297563240644373,no-supported-increment
15,nonlinear_proxy,False,0.03,-9.715335540419652e-05,-0.00023088591796943157,0.001456306455901361,residual-dependence-only
15,clustered_null,False,0.19,0.0029684327667679616,-0.026165672023417505,0.009545002763993391,no-supported-increment
15,genuine_increment,True,0.01,0.04024064158209372,0.025948237236810175,0.04946592207883161,increment-supported
16,null_metric,False,0.43,0.0003349989904467901,-0.0014291350609498866,0.0037161016561469366,no-supported-increment
16,nonlinear_proxy,False,0.77,-0.0003820744872476186,-0.0013100053669041834,0.0007954203571110773,no-supported-increment
16,clustered_null,False,0.41,-0.015304131702756699,-0.017636667440624677,0.015048597304571509,no-supported-increment
16,genuine_increment,True,0.01,0.043125769947658495,0.031247926231948657,0.051097392234835365,increment-supported
17,null_metric,False,0.23,-0.0018677105765575706,-0.0027355577108373044,0.0006011639172816926,no-supported-increment
17,nonlinear_proxy,False,0.52,-0.00017194219610004984,-0.00037306999231594514,0.0017015625070592956,no-supported-increment
17,clustered_null,False,0.19,-0.008751771290184316,-0.0364302839752021,0.003876620704664066,no-supported-increment
17,genuine_increment,True,0.01,0.0401519812323901,0.02899824753935089,0.04831363378142003,increment-supported
18,null_metric,False,0.87,-0.00040762873630250003,-0.001176392444862662,0.0014219789049017895,no-supported-increment
18,nonlinear_proxy,False,0.11,-0.00015930536902210822,-0.0007321772017956428,0.001082921910972909,no-supported-increment
18,clustered_null,False,0.04,-0.0011607522887947044,-0.01366962685643675,0.006894709904515331,residual-dependence-only
18,genuine_increment,True,0.01,0.04268313071927241,0.035359200515651557,0.04789530881170964,increment-supported
19,null_metric,False,0.65,-0.0009888923682020156,-0.0015919133363496993,0.00201952686995119,no-supported-increment
19,nonlinear_proxy,False,0.37,8.908482235931228e-05,-0.000501038714371752,0.0012702746610126594,no-supported-increment
19,clustered_null,False,0.78,0.0015623253666829547,-0.03874454914195535,0.02166565456696114,no-supported-increment
19,genuine_increment,True,0.01,0.04666665003519695,0.033351353171167636,0.050460910814117674,increment-supported
